date,order_id,item_name,category,quantity,price,total,payment_method,customer_type
2025-01-01 08:06:26,100001,Croissant,Bakery,3,2.50,7.50,Card,Returning
2025-01-01 08:06:26,100001,Bagel,Bakery,1,2.00,2.00,Card,Returning
2025-01-01 08:06:26,100001,Matcha,Tea,1,4.25,4.25,Card,New
2025-01-01 06:44:25,100002,Americano,Coffee,1,3.00,3.00,Card,New
2025-01-01 08:03:30,100003,Avocado Toast,Savory,1,6.00,6.00,Cash,New
2025-01-01 08:03:30,100003,Blueberry Muffin,Bakery,1,2.75,2.75,Cash,Returning
2025-01-01 08:03:30,100003,Bagel,Bakery,1,2.00,2.00,Card,Returning
2025-01-01 15:28:14,100004,Avocado Toast,Savory,2,6.00,12.00,Mobile Pay,Returning
2025-01-01 15:28:14,100004,Berry Blast,Juice,1,4.00,4.00,Card,Returning
2025-01-01 10:12:29,100005,Americano,Coffee,1,3.00,3.00,Card,Returning
2025-01-01 18:41:06,100006,Berry Blast,Juice,1,4.00,4.00,Card,Returning
2025-01-01 18:41:06,100006,Bagel,Bakery,1,2.00,2.00,Card,Returning
2025-01-01 19:18:36,100007,Croissant,Bakery,1,2.50,2.50,Card,New
2025-01-01 19:18:36,100007,Bagel,Bakery,2,2.00,4.00,Card,Returning
2025-01-01 06:47:45,100008,Croissant,Bakery,2,2.50,5.00,Card,New
2025-01-01 06:47:45,100008,Ham Sandwich,Savory,1,5.50,5.50,Card,New
2025-01-01 10:20:46,100009,Cold Brew,Coffee,2,4.50,9.00,Card,Returning
2025-01-01 18:38:44,100010,Chai Tea,Tea,1,3.25,3.25,Card,Returning
2025-01-01 18:38:44,100010,Orange Juice,Juice,1,3.00,3.00,Card,Returning
2025-01-01 18:38:44,100010,Espresso,Coffee,3,2.50,7.50,Card,New
2025-01-01 19:38:46,100011,Blueberry Muffin,Bakery,1,2.75,2.75,Card,New
2025-01-01 19:38:46,100011,Mango Juice,Juice,1,3.50,3.50,Card,Returning
2025-01-01 17:06:41,100012,Ham Sandwich,Savory,1,5.50,5.50,Cash,Returning
2025-01-01 17:06:41,100012,Americano,Coffee,2,3.00,6.00,Mobile Pay,New
2025-01-01 17:06:41,100012,Berry Blast,Juice,1,4.00,4.00,Card,New
2025-01-01 17:54:41,100013,Bagel,Bakery,1,2.00,2.00,Card,New
2025-01-01 17:54:41,100013,Matcha,Tea,1,4.25,4.25,Cash,New
2025-01-01 17:54:41,100013,Matcha,Tea,1,4.25,4.25,Cash,Returning
2025-01-01 19:58:07,100014,Cold Brew,Coffee,1,4.50,4.50,Card,New
2025-01-01 19:58:07,100014,Matcha,Tea,1,4.25,4.25,Cash,Returning
2025-01-01 09:49:38,100015,Orange Juice,Juice,1,3.00,3.00,Cash,New
2025-01-01 09:49:38,100015,Mango Juice,Juice,1,3.50,3.50,Cash,Returning
2025-01-01 09:49:38,100015,Mango Juice,Juice,1,3.50,3.50,Card,Returning
2025-01-01 16:54:42,100016,Mango Juice,Juice,3,3.50,10.50,Card,Returning
2025-01-01 16:54:42,100016,Ham Sandwich,Savory,1,5.50,5.50,Card,Returning
2025-01-01 16:54:42,100016,Avocado Toast,Savory,1,6.00,6.00,Card,Returning
2025-01-01 14:51:20,100017,Ham Sandwich,Savory,2,5.50,11.00,Mobile Pay,New
2025-01-01 14:51:20,100017,Cappuccino,Coffee,3,4.00,12.00,Card,New
2025-01-01 14:51:20,100017,Chai Tea,Tea,1,3.25,3.25,Card,Returning
2025-01-01 09:42:59,100018,Espresso,Coffee,1,2.50,2.50,Cash,Returning
2025-01-01 13:19:25,100019,Ham Sandwich,Savory,1,5.50,5.50,Card,Returning
2025-01-01 13:19:25,100019,Croissant,Bakery,1,2.50,2.50,Card,Returning
2025-01-01 17:46:04,100020,Chai Tea,Tea,1,3.25,3.25,Card,Returning
2025-01-01 17:46:04,100020,Americano,Coffee,1,3.00,3.00,Card,Returning
2025-01-01 17:46:04,100020,Blueberry Muffin,Bakery,1,2.75,2.75,Card,New
2025-01-01 14:20:13,100021,Orange Juice,Juice,1,3.00,3.00,Card,Returning
2025-01-02 08:06:20,100022,Cappuccino,Coffee,2,4.00,8.00,Card,Returning
2025-01-02 08:06:20,100022,Cold Brew,Coffee,1,4.50,4.50,Card,Returning
2025-01-02 09:57:42,100023,Orange Juice,Juice,1,3.00,3.00,Cash,Returning
2025-01-02 09:57:42,100023,Espresso,Coffee,1,2.50,2.50,Card,Returning
2025-01-02 09:57:42,100023,Latte,Coffee,1,4.00,4.00,Cash,New
2025-01-02 09:50:33,100024,Bagel,Bakery,1,2.00,2.00,Cash,New
2025-01-02 09:50:33,100024,Mango Juice,Juice,1,3.50,3.50,Cash,Returning
2025-01-02 09:50:33,100024,Berry Blast,Juice,1,4.00,4.00,Card,Returning
2025-01-02 16:51:56,100025,Espresso,Coffee,1,2.50,2.50,Mobile Pay,New
2025-01-02 16:51:56,100025,Berry Blast,Juice,1,4.00,4.00,Card,Returning
2025-01-02 10:21:40,100026,Orange Juice,Juice,1,3.00,3.00,Card,New
2025-01-02 15:05:18,100027,Croissant,Bakery,1,2.50,2.50,Card,Returning
